epoch:0,   轨迹预测的 ciou loss :238.34133684635162
epoch:1,   轨迹预测的 ciou loss :215.87045991420746
epoch:2,   轨迹预测的 ciou loss :214.9046955704689
epoch:3,   轨迹预测的 ciou loss :215.77000588178635
epoch:4,   轨迹预测的 ciou loss :214.8941617012024
epoch:5,   轨迹预测的 ciou loss :221.63701766729355
epoch:6,   轨迹预测的 ciou loss :216.10678803920746
epoch:7,   轨迹预测的 ciou loss :212.9382427930832
epoch:8,   轨迹预测的 ciou loss :210.32201045751572
epoch:9,   轨迹预测的 ciou loss :224.9513317346573
epoch:10,   轨迹预测的 ciou loss :221.69505274295807
epoch:11,   轨迹预测的 ciou loss :219.8677459359169
epoch:12,   轨迹预测的 ciou loss :216.4963988661766
epoch:13,   轨迹预测的 ciou loss :214.6406661272049
epoch:14,   轨迹预测的 ciou loss :224.88680136203766
epoch:15,   轨迹预测的 ciou loss :238.61824333667755
epoch:16,   轨迹预测的 ciou loss :242.84435230493546
epoch:17,   轨迹预测的 ciou loss :243.2703726887703
epoch:18,   轨迹预测的 ciou loss :244.16274493932724
epoch:19,   轨迹预测的 ciou loss :244.9573419690132
epoch:20,   轨迹预测的 ciou loss :242.75772839784622
epoch:21,   轨迹预测的 ciou loss :244.66380935907364
epoch:22,   轨迹预测的 ciou loss :244.6753892302513
epoch:23,   轨迹预测的 ciou loss :244.8803287744522
epoch:24,   轨迹预测的 ciou loss :243.79090613126755
epoch:25,   轨迹预测的 ciou loss :242.33218669891357
epoch:26,   轨迹预测的 ciou loss :244.95019471645355
epoch:27,   轨迹预测的 ciou loss :244.12648957967758
epoch:28,   轨迹预测的 ciou loss :244.97228598594666
epoch:29,   轨迹预测的 ciou loss :242.14970034360886
