epoch:0,   轨迹预测的 ciou loss :125.15487492084503
epoch:1,   轨迹预测的 ciou loss :120.33630162477493
epoch:2,   轨迹预测的 ciou loss :118.43420988321304
epoch:3,   轨迹预测的 ciou loss :117.64572751522064
epoch:4,   轨迹预测的 ciou loss :117.04515105485916
epoch:5,   轨迹预测的 ciou loss :116.04665035009384
epoch:6,   轨迹预测的 ciou loss :113.9265866279602
epoch:7,   轨迹预测的 ciou loss :113.46063393354416
epoch:8,   轨迹预测的 ciou loss :113.22073042392731
epoch:9,   轨迹预测的 ciou loss :113.07070183753967
epoch:10,   轨迹预测的 ciou loss :113.1409781575203
epoch:11,   轨迹预测的 ciou loss :112.76108169555664
epoch:12,   轨迹预测的 ciou loss :112.67124670743942
epoch:13,   轨迹预测的 ciou loss :112.61823254823685
epoch:14,   轨迹预测的 ciou loss :112.58183294534683
epoch:15,   轨迹预测的 ciou loss :112.51587271690369
epoch:16,   轨迹预测的 ciou loss :112.48643225431442
epoch:17,   轨迹预测的 ciou loss :112.48074263334274
epoch:18,   轨迹预测的 ciou loss :112.47670197486877
epoch:19,   轨迹预测的 ciou loss :112.47309356927872
epoch:20,   轨迹预测的 ciou loss :112.46108990907669
epoch:21,   轨迹预测的 ciou loss :112.45904397964478
epoch:22,   轨迹预测的 ciou loss :112.45861792564392
epoch:23,   轨迹预测的 ciou loss :112.45823758840561
epoch:24,   轨迹预测的 ciou loss :112.45785200595856
epoch:25,   轨迹预测的 ciou loss :112.45639842748642
epoch:26,   轨迹预测的 ciou loss :112.45633172988892
epoch:27,   轨迹预测的 ciou loss :112.45630604028702
epoch:28,   轨迹预测的 ciou loss :112.45629340410233
epoch:29,   轨迹预测的 ciou loss :112.45628780126572
epoch:30,   轨迹预测的 ciou loss :112.45617544651031
epoch:31,   轨迹预测的 ciou loss :112.4561739563942
epoch:32,   轨迹预测的 ciou loss :112.45617485046387
epoch:33,   轨迹预测的 ciou loss :112.45617198944092
epoch:34,   轨迹预测的 ciou loss :112.4561618566513
epoch:35,   轨迹预测的 ciou loss :112.45616400241852
epoch:36,   轨迹预测的 ciou loss :112.45616382360458
epoch:37,   轨迹预测的 ciou loss :112.45616406202316
